name,type,value,date
成池铉,韩国,74726,2017-04-28
山口茜,日本,73979,2017-04-28
孙瑜,中国,68594,2017-04-28
何冰娇,中国,61472,2017-04-28
内维尔,印度,59579,2017-04-28
奥原希望,日本,57287,2017-04-28
因达农,泰国,55714,2017-04-28
戴资颖,中国台北,95921,2017-05-05
马琳,西班牙,80714,2017-05-05
山口茜,日本,75729,2017-05-05
辛德胡,印度,75469,2017-05-05
成池铉,韩国,74726,2017-05-05
孙瑜,中国,68594,2017-05-05
何冰娇,中国,64292,2017-05-05
因达农,泰国,57154,2017-05-05
内维尔,印度,55819,2017-05-05
奥原希望,日本,54467,2017-05-05
戴资颖,中国台北,95921,2017-05-12
马琳,西班牙,80714,2017-05-12
山口茜,日本,75729,2017-05-12
辛德胡,印度,75469,2017-05-12
成池铉,韩国,74726,2017-05-12
孙瑜,中国,68594,2017-05-12
何冰娇,中国,64292,2017-05-12
因达农,泰国,57154,2017-05-12
内维尔,印度,55819,2017-05-12
奥原希望,日本,54467,2017-05-12
戴资颖,中国台北,95921,2017-05-19
马琳,西班牙,80714,2017-05-19
山口茜,日本,75729,2017-05-19
辛德胡,印度,75469,2017-05-19
成池铉,韩国,74726,2017-05-19
孙瑜,中国,68594,2017-05-19
何冰娇,中国,64292,2017-05-19
因达农,泰国,57154,2017-05-19
内维尔,印度,55819,2017-05-19
奥原希望,日本,54467,2017-05-19
戴资颖,中国台北,95650,2017-05-26
马琳,西班牙,79337,2017-05-26
山口茜,日本,75729,2017-05-26
成池铉,韩国,74417,2017-05-26
辛德胡,印度,73350,2017-05-26
孙瑜,中国,68310,2017-05-26
何冰娇,中国,64292,2017-05-26
陈雨菲,中国,51164,2017-05-26
因达农,泰国,50940,2017-05-26
内维尔,印度,50550,2017-05-26
戴资颖,中国台北,98989,2017-06-02
马琳,西班牙,79337,2017-06-02
辛德胡,印度,76946,2017-06-02
山口茜,日本,76449,2017-06-02
成池铉,韩国,74805,2017-06-02
孙瑜,中国,70171,2017-06-02
何冰娇,中国,64292,2017-06-02
因达农,泰国,54351,2017-06-02
奥原希望,日本,52387,2017-06-02
陈雨菲,中国,51980,2017-06-02
戴资颖,中国台北,94989,2017-06-09
马琳,西班牙,77687,2017-06-09
辛德胡,印度,76946,2017-06-09
山口茜,日本,76449,2017-06-09
成池铉,韩国,74805,2017-06-09
孙瑜,中国,69161,2017-06-09
何冰娇,中国,63572,2017-06-09
因达农,泰国,57751,2017-06-09
陈雨菲,中国,51980,2017-06-09
张蓓雯,美国,51160,2017-06-09
戴资颖,中国台北,94989,2017-06-16
马琳,西班牙,77687,2017-06-16
辛德胡,印度,76946,2017-06-16
山口茜,日本,76449,2017-06-16
成池铉,韩国,74805,2017-06-16
孙瑜,中国,65211,2017-06-16
何冰娇,中国,63572,2017-06-16
因达农,泰国,56311,2017-06-16
陈雨菲,中国,51980,2017-06-16
张蓓雯,美国,51160,2017-06-16
戴资颖,中国台北,94989,2017-06-23
成池铉,韩国,77735,2017-06-23
马琳,西班牙,77687,2017-06-23
辛德胡,印度,76946,2017-06-23
山口茜,日本,76449,2017-06-23
孙瑜,中国,67411,2017-06-23
何冰娇,中国,63572,2017-06-23
因达农,泰国,56311,2017-06-23
张蓓雯,美国,54860,2017-06-23
陈雨菲,中国,51980,2017-06-23
戴资颖,中国台北,94989,2017-06-30
山口茜,日本,78199,2017-06-30
成池铉,韩国,77735,2017-06-30
马琳,西班牙,77687,2017-06-30
辛德胡,印度,76946,2017-06-30
孙瑜,中国,68791,2017-06-30
何冰娇,中国,63572,2017-06-30
奥原希望,日本,57637,2017-06-30
因达农,泰国,56311,2017-06-30
张蓓雯,美国,54860,2017-06-30
戴资颖,中国台北,94409,2017-07-07
山口茜,日本,78199,2017-07-07
成池铉,韩国,77735,2017-07-07
马琳,西班牙,77687,2017-07-07
辛德胡,印度,76946,2017-07-07
孙瑜,中国,68791,2017-07-07
何冰娇,中国,62272,2017-07-07
奥原希望,日本,57637,2017-07-07
因达农,泰国,56311,2017-07-07
张蓓雯,美国,54180,2017-07-07
戴资颖,中国台北,94409,2017-07-14
山口茜,日本,78199,2017-07-14
成池铉,韩国,77735,2017-07-14
马琳,西班牙,77687,2017-07-14
辛德胡,印度,76946,2017-07-14
孙瑜,中国,68791,2017-07-14
何冰娇,中国,62272,2017-07-14
奥原希望,日本,57637,2017-07-14
因达农,泰国,56311,2017-07-14
张蓓雯,美国,54180,2017-07-14
戴资颖,中国台北,94409,2017-07-21
山口茜,日本,78199,2017-07-21
成池铉,韩国,77735,2017-07-21
马琳,西班牙,77687,2017-07-21
辛德胡,印度,76946,2017-07-21
孙瑜,中国,68791,2017-07-21
何冰娇,中国,62272,2017-07-21
奥原希望,日本,57637,2017-07-21
因达农,泰国,56311,2017-07-21
张蓓雯,美国,54180,2017-07-21
戴资颖,中国台北,94409,2017-07-28
山口茜,日本,78199,2017-07-28
成池铉,韩国,77735,2017-07-28
马琳,西班牙,77687,2017-07-28
辛德胡,印度,76946,2017-07-28
孙瑜,中国,68791,2017-07-28
何冰娇,中国,62272,2017-07-28
奥原希望,日本,57637,2017-07-28
因达农,泰国,56311,2017-07-28
张蓓雯,美国,54180,2017-07-28
戴资颖,中国台北,94409,2017-08-04
山口茜,日本,78199,2017-08-04
成池铉,韩国,77735,2017-08-04
马琳,西班牙,77687,2017-08-04
辛德胡,印度,76946,2017-08-04
孙瑜,中国,68791,2017-08-04
何冰娇,中国,62272,2017-08-04
奥原希望,日本,57637,2017-08-04
因达农,泰国,56311,2017-08-04
张蓓雯,美国,54180,2017-08-04
戴资颖,中国台北,94409,2017-08-11
山口茜,日本,78199,2017-08-11
成池铉,韩国,77735,2017-08-11
马琳,西班牙,77687,2017-08-11
辛德胡,印度,76946,2017-08-11
孙瑜,中国,68791,2017-08-11
何冰娇,中国,62272,2017-08-11
因达农,泰国,59711,2017-08-11
奥原希望,日本,57637,2017-08-11
张蓓雯,美国,54180,2017-08-11
戴资颖,中国台北,94409,2017-08-18
山口茜,日本,78199,2017-08-18
成池铉,韩国,77735,2017-08-18
马琳,西班牙,77687,2017-08-18
辛德胡,印度,76946,2017-08-18
孙瑜,中国,68791,2017-08-18
何冰娇,中国,62272,2017-08-18
因达农,泰国,59711,2017-08-18
奥原希望,日本,57637,2017-08-18
张蓓雯,美国,54180,2017-08-18
戴资颖,中国台北,94409,2017-08-25
山口茜,日本,77649,2017-08-25
成池铉,韩国,77555,2017-08-25
辛德胡,印度,71786,2017-08-25
马琳,西班牙,71637,2017-08-25
孙瑜,中国,68791,2017-08-25
何冰娇,中国,62272,2017-08-25
因达农,泰国,58511,2017-08-25
张蓓雯,美国,54180,2017-08-25
陈雨菲,中国,53170,2017-08-25
戴资颖,中国台北,94409,2017-09-01
山口茜,日本,77649,2017-09-01
成池铉,韩国,77555,2017-09-01
辛德胡,印度,76946,2017-09-01
马琳,西班牙,72287,2017-09-01
孙瑜,中国,69341,2017-09-01
何冰娇,中国,63472,2017-09-01
因达农,泰国,61511,2017-09-01
奥原希望,日本,60437,2017-09-01
陈雨菲,中国,57250,2017-09-01
戴资颖,中国台北,94409,2017-09-08
山口茜,日本,77649,2017-09-08
成池铉,韩国,77555,2017-09-08
辛德胡,印度,76946,2017-09-08
马琳,西班牙,72287,2017-09-08
孙瑜,中国,69341,2017-09-08
何冰娇,中国,63472,2017-09-08
因达农,泰国,61511,2017-09-08
奥原希望,日本,60437,2017-09-08
陈雨菲,中国,57250,2017-09-08
戴资颖,中国台北,94409,2017-09-15
山口茜,日本,77649,2017-09-15
成池铉,韩国,77555,2017-09-15
辛德胡,印度,76946,2017-09-15
马琳,西班牙,72287,2017-09-15
孙瑜,中国,69341,2017-09-15
何冰娇,中国,63472,2017-09-15
因达农,泰国,61511,2017-09-15
奥原希望,日本,60437,2017-09-15
陈雨菲,中国,57250,2017-09-15
戴资颖,中国台北,94409,2017-09-22
辛德胡,印度,81106,2017-09-22
成池铉,韩国,76175,2017-09-22
山口茜,日本,74869,2017-09-22
马琳,西班牙,72287,2017-09-22
孙瑜,中国,69341,2017-09-22
何冰娇,中国,66292,2017-09-22
奥原希望,日本,65577,2017-09-22
因达农,泰国,62231,2017-09-22
陈雨菲,中国,56530,2017-09-22
戴资颖,中国台北,94409,2017-09-29
辛德胡,印度,81106,2017-09-29
成池铉,韩国,76175,2017-09-29
马琳,西班牙,75437,2017-09-29
山口茜,日本,74499,2017-09-29
孙瑜,中国,67591,2017-09-29
奥原希望,日本,66957,2017-09-29
何冰娇,中国,64892,2017-09-29
因达农,泰国,61511,2017-09-29
陈雨菲,中国,58630,2017-09-29
戴资颖,中国台北,94409,2017-10-06
