name,type,value,date
李俊慧&刘雨辰,中国,65119,2016-10-20
鲍伊&摩根森,丹麦,63374,2016-10-20
彼德森&科丁,丹麦,63143,2016-10-20
费尔纳迪&苏卡穆约,印尼,61361,2016-10-20
远藤大由&早川贤一,日本,60557,2016-10-20
索松诺夫&伊万诺夫,俄罗斯,60353,2016-10-20
普拉塔玛&苏华迪,印尼,59239,2016-10-20
嘉村健士&园田启悟,日本,58142,2016-10-20
李龙大&柳延星,韩国,85279,2016-10-27
吴蔚昇&陈蔚强,马来西亚,71297,2016-10-27
柴飚&洪炜,中国,70220,2016-10-27
金基正&金沙朗,韩国,69767,2016-10-27
鲍伊&摩根森,丹麦,67534,2016-10-27
高成炫&申白喆,韩国,65243,2016-10-27
李俊慧&刘雨辰,中国,65119,2016-10-27
塞蒂亚万&阿山,印尼,64800,2016-10-27
傅海峰&张楠,中国,63105,2016-10-27
费尔纳迪&苏卡穆约,印尼,61361,2016-10-27
普拉塔玛&苏华迪,印尼,61339,2016-10-27
索松诺夫&伊万诺夫,俄罗斯,60713,2016-10-27
彼德森&科丁,丹麦,59193,2016-10-27
远藤大由&早川贤一,日本,59117,2016-10-27
嘉村健士&园田启悟,日本,58282,2016-10-27
吴蔚昇&陈蔚强,马来西亚,71297,2016-11-03
柴飚&洪炜,中国,70220,2016-11-03
鲍伊&摩根森,丹麦,67534,2016-11-03
李俊慧&刘雨辰,中国,65119,2016-11-03
塞蒂亚万&阿山,印尼,64800,2016-11-03
傅海峰&张楠,中国,63105,2016-11-03
费尔纳迪&苏卡穆约,印尼,61361,2016-11-03
普拉塔玛&苏华迪,印尼,61339,2016-11-03
索松诺夫&伊万诺夫,俄罗斯,59443,2016-11-03
远藤大由&早川贤一,日本,59117,2016-11-03
嘉村健士&园田启悟,日本,58282,2016-11-03
彼德森&科丁,丹麦,55793,2016-11-03
索伦森&安德斯,丹麦,52561,2016-11-03
古健杰&陈文宏,马来西亚,48973,2016-11-03
博丁&尼迪蓬,泰国,48558,2016-11-03
吴蔚昇&陈蔚强,马来西亚,71297,2016-11-10
柴飚&洪炜,中国,70220,2016-11-10
鲍伊&摩根森,丹麦,67534,2016-11-10
塞蒂亚万&阿山,印尼,64800,2016-11-10
李俊慧&刘雨辰,中国,64069,2016-11-10
傅海峰&张楠,中国,63105,2016-11-10
费尔纳迪&苏卡穆约,印尼,61361,2016-11-10
普拉塔玛&苏华迪,印尼,61339,2016-11-10
索松诺夫&伊万诺夫,俄罗斯,59443,2016-11-10
远藤大由&早川贤一,日本,59117,2016-11-10
嘉村健士&园田启悟,日本,58282,2016-11-10
彼德森&科丁,丹麦,55793,2016-11-10
索伦森&安德斯,丹麦,52561,2016-11-10
古健杰&陈文宏,马来西亚,48973,2016-11-10
博丁&尼迪蓬,泰国,48558,2016-11-10
吴蔚昇&陈蔚强,马来西亚,71297,2016-11-17
鲍伊&摩根森,丹麦,70834,2016-11-17
柴飚&洪炜,中国,68570,2016-11-17
费尔纳迪&苏卡穆约,印尼,68041,2016-11-17
塞蒂亚万&阿山,印尼,64800,2016-11-17
傅海峰&张楠,中国,63105,2016-11-17
李俊慧&刘雨辰,中国,61619,2016-11-17
普拉塔玛&苏华迪,印尼,61339,2016-11-17
索松诺夫&伊万诺夫,俄罗斯,59443,2016-11-17
嘉村健士&园田启悟,日本,59432,2016-11-17
彼德森&科丁,丹麦,58243,2016-11-17
远藤大由&早川贤一,日本,55017,2016-11-17
索伦森&安德斯,丹麦,54291,2016-11-17
M·埃利斯&兰格瑞奇,英国,49166,2016-11-17
博丁&尼迪蓬,泰国,48558,2016-11-17
吴蔚昇&陈蔚强,马来西亚,71297,2016-11-24
鲍伊&摩根森,丹麦,70834,2016-11-24
柴飚&洪炜,中国,68570,2016-11-24
费尔纳迪&苏卡穆约,印尼,67321,2016-11-24
嘉村健士&园田启悟,日本,63732,2016-11-24
傅海峰&张楠,中国,63105,2016-11-24
塞蒂亚万&阿山,印尼,62700,2016-11-24
李俊慧&刘雨辰,中国,61619,2016-11-24
普拉塔玛&苏华迪,印尼,60619,2016-11-24
索松诺夫&伊万诺夫,俄罗斯,59443,2016-11-24
彼德森&科丁,丹麦,58243,2016-11-24
远藤大由&早川贤一,日本,55017,2016-11-24
索伦森&安德斯,丹麦,54091,2016-11-24
M·埃利斯&兰格瑞奇,英国,48916,2016-11-24
古健杰&陈文宏,马来西亚,48253,2016-11-24
吴蔚昇&陈蔚强,马来西亚,71297,2016-12-01
鲍伊&摩根森,丹麦,70834,2016-12-01
柴飚&洪炜,中国,68570,2016-12-01
费尔纳迪&苏卡穆约,印尼,67321,2016-12-01
嘉村健士&园田启悟,日本,63732,2016-12-01
傅海峰&张楠,中国,63105,2016-12-01
塞蒂亚万&阿山,印尼,62700,2016-12-01
普拉塔玛&苏华迪,印尼,60619,2016-12-01
李俊慧&刘雨辰,中国,60429,2016-12-01
索松诺夫&伊万诺夫,俄罗斯,58863,2016-12-01
彼德森&科丁,丹麦,58243,2016-12-01
远藤大由&早川贤一,日本,55017,2016-12-01
索伦森&安德斯,丹麦,54091,2016-12-01
古健杰&陈文宏,马来西亚,48253,2016-12-01
M·埃利斯&兰格瑞奇,英国,47946,2016-12-01
吴蔚昇&陈蔚强,马来西亚,71297,2016-12-08
鲍伊&摩根森,丹麦,70834,2016-12-08
柴飚&洪炜,中国,68570,2016-12-08
费尔纳迪&苏卡穆约,印尼,67321,2016-12-08
嘉村健士&园田启悟,日本,63732,2016-12-08
傅海峰&张楠,中国,63105,2016-12-08
塞蒂亚万&阿山,印尼,62700,2016-12-08
普拉塔玛&苏华迪,印尼,60619,2016-12-08
李俊慧&刘雨辰,中国,60429,2016-12-08
索松诺夫&伊万诺夫,俄罗斯,58863,2016-12-08
彼德森&科丁,丹麦,58243,2016-12-08
索伦森&安德斯,丹麦,54091,2016-12-08
李哲辉&李洋,中国台北,49400,2016-12-08
古健杰&陈文宏,马来西亚,48253,2016-12-08
M·埃利斯&兰格瑞奇,英国,47946,2016-12-08
吴蔚昇&陈蔚强,马来西亚,76797,2016-12-15
费尔纳迪&苏卡穆约,印尼,69051,2016-12-15
嘉村健士&园田启悟,日本,68042,2016-12-15
鲍伊&摩根森,丹麦,67454,2016-12-15
柴飚&洪炜,中国,66920,2016-12-15
李俊慧&刘雨辰,中国,63819,2016-12-15
